id,categoria_id,nombre,precio
ciruela_5kg,frutas,CIRUELA X 5KG,69775
ciruela_kg,frutas,CIRUELA X KG,15760
frutilla_150,frutas,FRUTILLA ENTERA 150GR,6715
frutilla_kg,frutas,FRUTILLA ENTERA X KG,37660
mix_dulce_125,frutas,"MIX DULCE X 125GR Almendras, Nueces, Chip de banana, Pasas de uva, Mani",3450
mix_dulce_kg,frutas,"MIX DULCE Almendras, Nueces, Chip de banana, Pasas de uva, Mani X KG",18900
mix_pan_dulce_150,frutas,MIX PAN DULCE 150GR,4335
mix_pan_dulce_5kg,frutas,MIX PAN DULCE X 5KG,100725
mix_pan_dulce_kg,frutas,MIX PAN DULCE X KG,22590
mix_secos_150,frutas,"MIX SECOS+MANI + AVELLANA + NUEZ + ALMENDRA + CASTAÑA 150GR",6280
mix_secos_5kg,frutas,MIX SECO X 5KG,156290
mix_secos_kg,frutas,"MIX SECOS + MANI + AVELLANA + NUEZ + ALMENDRA + CASTAÑA X KG",35545
mix_tropical_150,frutas,MIX FRUTA TROPICAL+ MANI + BANANA+PAPAYA 150GR,4445
mix_tropical_5kg,frutas,MIX TROPICAL X 5KG,100725
mix_tropical_kg,frutas,MIX FRUTA TROPICAL FRUTOS SECOS + MANI + BANANA + PAPAYA X KG,22400
papaya_170,frutas,PAPAYA X 170GR,3895
papaya_5kg,frutas,PAPAYA X 5KG,77855
papaya_kg,frutas,PAPAYA X KG,17500
pasas_rubia_150,frutas,PASAS DE UVA RUBIA 150GR,3240
pasas_rubia_5kg,frutas,PASAS DE UVA RUBIA X 5KG,67725
pasas_rubia_kg,frutas,PASAS DE UVA RUBIA X KG,15430
pasas_uva_150,frutas,PASAS DE UVA 150GR,2280
pasas_uva_morocha_5kg,frutas,PASAS DE UVA MOROCHA X 5KG,38135
pasas_uva_kg,frutas,PASAS DE UVA X KG,8920
aceite_coco_360,almacen,ACEITE DE COCO 360CC EN FRASCO,8815
aceite_girasol_900,almacen,ACEITE DE GIRASOL X 900ML,2410
aceite_oliva_250,almacen,ACEITE DE OLIVA X 250ML,2785
aceituna_negra_carozo_300,almacen,ACEITUNA NEGRA CON CAROZO DOYPACK X 300GR,2485
aceituna_negra_carozo_kg,almacen,ACEITUNA NEGRA CON CAROZO X KG,6700
aceituna_negra_rodaja_300,almacen,ACEITUNA NEGRA EN RODAJA DOYPACK X 300GR,2300
aceituna_negra_rodaja_kg,almacen,ACEITUNA NEGRA EN RODAJA X KG,6045
aceituna_negra_sin_carozo_300,almacen,ACEITUNA NEGRA SIN CAROZO DOYPACK X 300GR,2615
aceituna_negra_sin_carozo_kg,almacen,ACEITUNA NEGRA SIN CAROZO X KG,7070
aceituna_verde_5kg,almacen,ACEITUNA VERDE BALDE DE 5KG,2410
aceituna_verde_carozo_300,almacen,ACEITUNA VERDE CON CAROZO DOYPACK X 300GR,2180
aceituna_verde_carozo_kg,almacen,ACEITUNA VERDE CON CAROZO X KG,5630
aceituna_verde_rodaja_300,almacen,ACEITUNA VERDE EN RODAJA DOYPACK X 300GR,2180
aceituna_verde_rodaja_kg,almacen,ACEITUNA VERDE EN RODAJA X KG,5630
aceituna_verde_rellena_300,almacen,ACEITUNA VERDE RELLENA DE MORRON DOYPACK X 300GR,2735
aceituna_verde_rellena_kg,almacen,ACEITUNA VERDE RELLENA DE MORRON X KG,7480
aceituna_verde_sin_carozo_300,almacen,ACEITUNA VERDE SIN CAROZO DOYPACK X 300GR,2230
aceituna_verde_sin_carozo_kg,almacen,ACEITUNA VERDE SIN CAROZO X KG,5790
aceto_balsamico_500,almacen,ACETO BALSAMICO X 500ML,3725
agua_mesa_8l,almacen,AGUA DE MESA BLUE WATER X 8L,3170
agua_mesa_10l,almacen,AGUA DE MESA BLUE WATER X 10L,3375
caramelo_miel_kg,almacen,CARAMELO DE MIEL X KG,12090
